CAD CDW ID,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,Hundred Block Location,District/Sector,Zone/Beat,Census Tract,Longitude,Latitude,Incident Location,Initial Type Description,Initial Type Subgroup,Initial Type Group,At Scene Time
1996825,17000167655,2017167655,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,5/12/2017 22:01,M L KING JR WY S / S ELMWOOD PL,G,G3,8900.203,-122.298,47.59263,"(47.59263, -122.29777)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1996831,17000167550,2017167550,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,5/12/2017 22:00,1XX BLOCK OF 6 AV S,K,K3,9200.1,-122.326,47.60129,"(47.60129, -122.326355)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,5/12/2017 20:38
1996827,17000167629,2017167629,65,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,5/12/2017 22:00,N 34 ST / EVANSTON AV N,B,B2,4900.202,-122.351,47.64982,"(47.649822, -122.3513)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,
1996836,17000167372,2017167372,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,5/12/2017 21:58,62XX BLOCK OF 45 AV NE,U,U3,4200.101,-122.28,47.67488,"(47.674877, -122.279526)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1996828,17000167618,2017167618,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,5/12/2017 21:58,28XX BLOCK OF SW MORGAN ST,F,F1,10702.2,-122.369,47.54463,"(47.54463, -122.36868)",FIGHT - VERBAL/ORAL (NO WEAPONS),DISTURBANCES,DISTURBANCES,
1996824,17000167656,2017167656,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,5/12/2017 21:57,15XX BLOCK OF 1 AV,M,M1,8100.3,-122.34,47.60932,"(47.609318, -122.34047)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1996830,17000167591,2017167591,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,5/12/2017 21:56,38XX BLOCK OF BEACH DR SW,W,W2,9701.302,-122.409,47.56938,"(47.56938, -122.409485)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,5/12/2017 21:14
1996833,17000167510,2017167510,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,5/12/2017 21:56,45XX BLOCK OF UNIVERSITY WY NE,U,U2,5301.201,-122.313,47.66218,"(47.66218, -122.31312)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,5/12/2017 19:58
1996805,17000167651,2017167651,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,5/12/2017 21:53,WESTERN AV / VIRGINIA ST,M,M1,8100.301,-122.344,47.61032,"(47.610317, -122.34364)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,
1996817,17000167394,2017167394,201,ALACAD - RESIDENTIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,5/12/2017 21:53,13XX BLOCK OF NW NORCROSS WY,N,N1,1400.4,-122.373,47.70835,"(47.70835, -122.37339)","ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",ALACAD,SUSPICIOUS CIRCUMSTANCES,5/12/2017 20:09
1996815,17000167471,2017167471,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,5/12/2017 21:52,38XX BLOCK OF 23 AV W,Q,Q1,5801.302,-122.386,47.65474,"(47.654736, -122.385994)",NUISANCE - MISCHIEF,MISCELLANEOUS MISDEMEANORS,MISCELLANEOUS MISDEMEANORS,5/12/2017 21:21
1996806,17000167648,2017167648,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,5/12/2017 21:50,3XX BLOCK OF 2 AV S,K,K3,9200.203,-122.331,47.60046,"(47.600464, -122.33081)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,
1996807,17000167642,2017167642,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,5/12/2017 21:49,10XX BLOCK OF 1 AV,K,K1,8100.103,-122.337,47.60505,"(47.605053, -122.33656)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1996808,17000167636,2017167636,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,5/12/2017 21:46,S BOEING ACCESS RD / E MARGINAL WY S,99,99,,-122.291,47.50726,"(47.507256, -122.29118)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1996813,17000167565,2017167565,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,5/12/2017 21:43,24XX BLOCK OF NW 62 ST,B,B1,3200.2,-122.389,47.67383,"(47.673832, -122.38886)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,5/12/2017 21:13
1996811,17000167627,2017167627,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,5/12/2017 21:43,14 AV S / E YESLER WY,G,G1,9000.201,-122.314,47.60169,"(47.60169, -122.31416)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1996812,17000167568,2017167568,243,JUVENILE DISTURBANCE,DISTURBANCES,DISTURBANCES,5/12/2017 21:42,93XX BLOCK OF 51 AV NE,U,U3,900.2027,-122.273,47.69547,"(47.69547, -122.27312)",LIQUOR VIOLATIONS - MINOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,
1996810,17000167628,2017167628,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,5/12/2017 21:41,13XX BLOCK OF 1 AV,M,M1,8100.1,-122.339,47.60733,"(47.60733, -122.33865)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1996814,17000167537,2017167537,64,SHOPLIFT,THEFT,SHOPLIFTING,5/12/2017 21:38,5XX BLOCK OF 1 AV W,Q,Q3,7100.201,-122.358,47.62394,"(47.623936, -122.35802)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,5/12/2017 21:02
1996809,17000167633,2017167633,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,5/12/2017 21:36,UNIVERSITY WY NE / NE 47 ST,U,U2,5301.201,-122.313,47.66309,"(47.66309, -122.3131)","MOTOR VEHICLE COLLISION, HIT AND RUN",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,
