Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
41720008,T06,4047973,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:10,6/20/2004 0:13,6/20/2004 0:14,6/20/2004 0:16,6/20/2004 0:18,,,Other,6/20/2004 0:24,16TH ST/VALENCIA ST,SF,94103,B02,6,5226,3,3,3,FALSE,,1,TRUCK,3,2,8,Mission,"(37.7649173790256, -122.421886447232)",041720008-T06
41720009,E43,4047974,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:20,6/20/2004 0:22,6/20/2004 0:22,6/20/2004 0:23,,,,Other,6/20/2004 0:27,4500 Block of MISSION ST,SF,94112,B09,43,6116,3,3,3,TRUE,,1,ENGINE,2,9,11,Outer Mission,"(37.7254969149557, -122.434263310171)",041720009-E43
41720009,M43,4047974,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:20,6/20/2004 0:22,6/20/2004 0:22,6/20/2004 0:23,6/20/2004 0:27,6/20/2004 0:27,,Other,6/20/2004 0:39,4500 Block of MISSION ST,SF,94112,B09,43,6116,3,3,3,TRUE,,1,MEDIC,1,9,11,Outer Mission,"(37.7254969149557, -122.434263310171)",041720009-M43
41720010,M01,4047975,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:31,6/20/2004 0:33,6/20/2004 0:34,6/20/2004 0:35,,6/20/2004 0:52,,Other,6/20/2004 0:52,600 Block of VALENCIA ST,SF,94110,B02,7,5247,1,1,2,FALSE,,1,MEDIC,1,2,8,Mission,"(37.7627436601147, -122.421747650463)",041720010-M01
41720011,M08,4047976,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:42,6/20/2004 0:44,6/20/2004 0:45,6/20/2004 0:47,6/20/2004 0:52,6/20/2004 1:21,6/20/2004 1:34,Other,6/20/2004 1:57,100 Block of TAYLOR ST,SF,94102,B03,1,1453,1,1,2,TRUE,,1,MEDIC,1,3,6,Tenderloin,"(37.7836863385082, -122.410789885334)",041720011-M08
41720012,M14,4047977,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:44,6/20/2004 0:45,6/20/2004 0:45,6/20/2004 0:47,6/20/2004 0:50,,,Other,6/20/2004 1:02,26TH AV/FULTON ST,SF,94121,B07,14,7211,2,2,2,TRUE,,1,MEDIC,1,7,1,Outer Richmond,"(37.7725204198596, -122.485262024727)",041720012-M14
41720013,E28,4047978,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:47,6/20/2004 0:53,6/20/2004 0:53,6/20/2004 0:55,6/20/2004 0:57,,,Other,6/20/2004 1:05,NORTH POINT ST/TAYLOR ST,SF,94133,B01,28,1433,3,3,3,TRUE,,1,ENGINE,2,1,3,North Beach,"(37.8063434294735, -122.415431571973)",041720013-E28
41720013,M28,4047978,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:47,6/20/2004 0:53,6/20/2004 0:53,6/20/2004 0:54,6/20/2004 0:57,6/20/2004 1:06,6/20/2004 1:32,Other,6/20/2004 1:51,NORTH POINT ST/TAYLOR ST,SF,94133,B01,28,1433,3,3,3,FALSE,,1,MEDIC,1,1,3,North Beach,"(37.8063434294735, -122.415431571973)",041720013-M28
41720014,E01,4047979,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:51,6/20/2004 0:53,6/20/2004 0:53,6/20/2004 0:55,,,,Other,6/20/2004 0:57,5TH ST/MARKET ST,SF,94103,B03,1,1364,3,3,3,TRUE,,1,ENGINE,2,3,6,South of Market,"(37.7839914857614, -122.408066547804)",041720014-E01
41720014,M01,4047979,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:51,6/20/2004 0:53,6/20/2004 0:53,,6/20/2004 0:56,6/20/2004 1:00,6/20/2004 1:09,Other,6/20/2004 1:17,5TH ST/MARKET ST,SF,94103,B03,1,1364,3,3,3,FALSE,,1,MEDIC,1,3,6,South of Market,"(37.7839914857614, -122.408066547804)",041720014-M01
41720015,E03,4047980,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:56,6/20/2004 0:56,6/20/2004 0:57,6/20/2004 0:58,6/20/2004 1:00,,,Other,6/20/2004 1:02,SUTTER ST/VAN NESS AV,SF,94109,B04,3,3156,3,3,3,TRUE,,1,ENGINE,2,4,2,Nob Hill,"(37.7875481388175, -122.421758104465)",041720015-E03
41720015,M38,4047980,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:56,6/20/2004 0:56,6/20/2004 0:57,6/20/2004 0:58,6/20/2004 1:04,6/20/2004 1:04,6/20/2004 1:16,Other,6/20/2004 1:37,SUTTER ST/VAN NESS AV,SF,94109,B04,3,3156,3,3,3,TRUE,,1,MEDIC,1,4,2,Nob Hill,"(37.7875481388175, -122.421758104465)",041720015-M38
41720016,E10,4047981,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:56,6/20/2004 0:56,6/20/2004 0:57,6/20/2004 0:59,6/20/2004 1:01,,,Other,6/20/2004 1:08,2000 Block of MCALLISTER ST,SF,94118,B05,21,4462,3,3,3,TRUE,,1,ENGINE,2,5,5,Lone Mountain/USF,"(37.7769038844357, -122.445824245144)",041720016-E10
41720016,E21,4047981,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:56,6/20/2004 0:56,6/20/2004 0:57,6/20/2004 1:00,6/20/2004 1:01,,,Other,6/20/2004 1:06,2000 Block of MCALLISTER ST,SF,94118,B05,21,4462,3,3,3,FALSE,,1,ENGINE,3,5,5,Lone Mountain/USF,"(37.7769038844357, -122.445824245144)",041720016-E21
41720016,M10,4047981,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:56,6/20/2004 0:56,6/20/2004 0:57,6/20/2004 0:59,6/20/2004 1:08,6/20/2004 1:08,6/20/2004 1:13,Other,6/20/2004 1:36,2000 Block of MCALLISTER ST,SF,94118,B05,21,4462,3,3,3,FALSE,,1,MEDIC,1,5,5,Lone Mountain/USF,"(37.7769038844357, -122.445824245144)",041720016-M10
41720017,E38,4047982,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:59,6/20/2004 1:01,6/20/2004 1:02,6/20/2004 1:04,6/20/2004 1:05,,,Other,6/20/2004 1:12,2100 Block of WASHINGTON ST,SF,94109,B04,38,3331,3,3,3,FALSE,,1,ENGINE,2,4,2,Pacific Heights,"(37.7923752292486, -122.428636628697)",041720017-E38
41720017,E41,4047982,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:59,6/20/2004 1:01,6/20/2004 1:02,6/20/2004 1:05,6/20/2004 1:07,,,Other,6/20/2004 1:12,2100 Block of WASHINGTON ST,SF,94109,B04,38,3331,3,3,3,TRUE,,1,ENGINE,3,4,2,Pacific Heights,"(37.7923752292486, -122.428636628697)",041720017-E41
41720017,M41,4047982,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:59,6/20/2004 1:01,6/20/2004 1:02,6/20/2004 1:04,6/20/2004 1:08,6/20/2004 1:06,6/20/2004 1:26,Other,6/20/2004 1:46,2100 Block of WASHINGTON ST,SF,94109,B04,38,3331,3,3,3,TRUE,,1,MEDIC,1,4,2,Pacific Heights,"(37.7923752292486, -122.428636628697)",041720017-M41
41720018,E14,4047983,Medical Incident,6/20/2004,6/19/2004,6/20/2004 1:10,6/20/2004 1:11,6/20/2004 1:11,6/20/2004 1:12,6/20/2004 1:18,,,Other,6/20/2004 1:19,800 Block of 46TH AVE,SF,94121,B07,34,7277,3,3,3,TRUE,,1,ENGINE,3,7,1,Outer Richmond,"(37.7724779182768, -122.506684203589)",041720018-E14
41720018,E34,4047983,Medical Incident,6/20/2004,6/19/2004,6/20/2004 1:10,6/20/2004 1:11,6/20/2004 1:11,6/20/2004 1:12,6/20/2004 1:17,,,Other,6/20/2004 1:23,800 Block of 46TH AVE,SF,94121,B07,34,7277,3,3,3,FALSE,,1,ENGINE,2,7,1,Outer Richmond,"(37.7724779182768, -122.506684203589)",041720018-E34
41720018,M14,4047983,Medical Incident,6/20/2004,6/19/2004,6/20/2004 1:10,6/20/2004 1:11,6/20/2004 1:11,6/20/2004 1:13,6/20/2004 1:17,6/20/2004 1:38,6/20/2004 1:47,Other,6/20/2004 2:18,800 Block of 46TH AVE,SF,94121,B07,34,7277,3,3,3,TRUE,,1,MEDIC,1,7,1,Outer Richmond,"(37.7724779182768, -122.506684203589)",041720018-M14
41720019,E18,4047984,Vehicle Fire,6/20/2004,6/19/2004,6/20/2004 1:14,6/20/2004 1:16,6/20/2004 1:16,6/20/2004 1:18,6/20/2004 1:22,,,Other,6/20/2004 1:20,1600 Block of 26TH AVE,SF,94122,B08,18,7454,3,3,3,TRUE,,1,ENGINE,2,8,4,Sunset/Parkside,"(37.7567038230665, -122.484238383037)",041720019-E18
41720019,T18,4047984,Vehicle Fire,6/20/2004,6/19/2004,6/20/2004 1:14,6/20/2004 1:16,6/20/2004 1:16,6/20/2004 1:18,6/20/2004 1:21,,,Other,6/20/2004 1:49,1600 Block of 26TH AVE,SF,94122,B08,18,7454,3,3,3,TRUE,,1,TRUCK,1,8,4,Sunset/Parkside,"(37.7567038230665, -122.484238383037)",041720019-T18
41720021,E03,4047985,Medical Incident,6/20/2004,6/19/2004,6/20/2004 1:24,6/20/2004 1:27,6/20/2004 1:27,6/20/2004 1:29,6/20/2004 1:31,,,Other,6/20/2004 1:41,1200 Block of ELLIS ST,SF,94109,B02,5,3322,2,2,2,TRUE,,1,ENGINE,1,2,5,Western Addition,"(37.783247213368, -122.425950407809)",041720021-E03
41720022,M43,4047986,Medical Incident,6/20/2004,6/19/2004,6/20/2004 1:29,6/20/2004 1:31,6/20/2004 1:31,6/20/2004 1:35,,,,Other,6/20/2004 2:11,100 Block of BRITTON ST,SF,94134,B09,44,6257,2,2,2,TRUE,,1,MEDIC,1,9,10,Visitacion Valley,"(37.7123660356885, -122.412738165549)",041720022-M43
41720023,M13,4047987,Medical Incident,6/20/2004,6/19/2004,6/20/2004 1:37,6/20/2004 1:37,6/20/2004 1:38,6/20/2004 1:41,6/20/2004 1:44,6/20/2004 1:52,,Other,6/20/2004 2:23,400 Block of BROADWAY,SF,94133,B01,13,1231,2,2,2,TRUE,,1,MEDIC,1,1,3,North Beach,"(37.7980134745487, -122.405065483077)",041720023-M13
41720024,M15,4047988,Medical Incident,6/20/2004,6/19/2004,6/20/2004 1:37,6/20/2004 1:39,6/20/2004 1:39,6/20/2004 1:42,6/20/2004 1:52,6/20/2004 1:57,6/20/2004 2:15,Other,6/20/2004 2:26,0 Block of SANTOS ST,SF,94134,B09,43,6244,2,2,2,TRUE,,1,MEDIC,1,9,10,Visitacion Valley,"(37.7121040537994, -122.41847388242)",041720024-M15
41720025,M29,4047989,Medical Incident,6/20/2004,6/19/2004,6/20/2004 1:55,6/20/2004 1:57,6/20/2004 1:57,6/20/2004 1:58,6/20/2004 2:04,6/20/2004 2:10,6/20/2004 2:21,Other,6/20/2004 2:40,0 Block of DAKOTA ST,SF,94107,B10,37,2614,1,1,2,TRUE,,1,MEDIC,1,10,10,Potrero Hill,"(37.7536287459484, -122.395523138586)",041720025-M29
41720026,B03,4047990,Alarms,6/20/2004,6/19/2004,6/20/2004 2:01,6/20/2004 2:02,6/20/2004 2:03,,,,,Other,6/20/2004 2:05,500 Block of HARRISON ST,SF,94105,B03,35,2136,A,A,2,FALSE,,1,CHIEF,2,3,6,Financial District/South Beach,"(37.7855694880471, -122.393469162416)",041720026-B03
41720026,E35,4047990,Alarms,6/20/2004,6/19/2004,6/20/2004 2:01,6/20/2004 2:02,6/20/2004 2:03,6/20/2004 2:05,6/20/2004 2:12,,,Other,6/20/2004 2:12,500 Block of HARRISON ST,SF,94105,B03,35,2136,A,A,2,FALSE,,1,ENGINE,1,3,6,Financial District/South Beach,"(37.7855694880471, -122.393469162416)",041720026-E35
41720026,T08,4047990,Alarms,6/20/2004,6/19/2004,6/20/2004 2:01,6/20/2004 2:02,6/20/2004 2:03,,,,,Other,6/20/2004 2:05,500 Block of HARRISON ST,SF,94105,B03,35,2136,A,A,2,FALSE,,1,TRUCK,3,3,6,Financial District/South Beach,"(37.7855694880471, -122.393469162416)",041720026-T08
41720027,E12,4047991,Structure Fire,6/20/2004,6/19/2004,6/20/2004 2:02,6/20/2004 2:02,6/20/2004 2:03,6/20/2004 2:05,6/20/2004 2:06,,,Other,6/20/2004 2:06,STANYAN ST/WALLER ST,SF,94117,B05,12,4552,3,3,3,TRUE,,1,ENGINE,1,5,5,Golden Gate Park,"(37.7682460259648, -122.453352288829)",041720027-E12
41720027,T12,4047991,Structure Fire,6/20/2004,6/19/2004,6/20/2004 2:02,6/20/2004 2:02,6/20/2004 2:03,6/20/2004 2:05,,,,Other,6/20/2004 2:06,STANYAN ST/WALLER ST,SF,94117,B05,12,4552,3,3,3,FALSE,,1,TRUCK,2,5,5,Golden Gate Park,"(37.7682460259648, -122.453352288829)",041720027-T12
41720028,M05,4047992,Medical Incident,6/20/2004,6/19/2004,6/20/2004 2:05,6/20/2004 2:07,6/20/2004 2:08,6/20/2004 2:09,6/20/2004 2:10,6/20/2004 2:36,6/20/2004 2:40,Other,6/20/2004 3:02,1200 Block of WEBSTER ST,SF,94115,B05,5,3515,3,3,3,TRUE,,1,MEDIC,1,5,5,Western Addition,"(37.7820874529721, -122.430855608926)",041720028-M05
41720028,T05,4047992,Medical Incident,6/20/2004,6/19/2004,6/20/2004 2:05,6/20/2004 2:07,6/20/2004 2:08,6/20/2004 2:09,6/20/2004 2:10,,,Other,6/20/2004 2:18,1200 Block of WEBSTER ST,SF,94115,B05,5,3515,3,3,3,FALSE,,1,TRUCK,2,5,5,Western Addition,"(37.7820874529721, -122.430855608926)",041720028-T05
41720029,E01,4047993,Medical Incident,6/20/2004,6/19/2004,6/20/2004 2:13,6/20/2004 2:13,6/20/2004 2:14,6/20/2004 2:15,6/20/2004 2:18,,,Other,6/20/2004 2:19,2ND ST/FOLSOM ST,SF,94107,B03,1,2147,3,3,3,TRUE,,1,ENGINE,2,3,6,Financial District/South Beach,"(37.7855421300911, -122.396705179335)",041720029-E01
41720029,M01,4047993,Medical Incident,6/20/2004,6/19/2004,6/20/2004 2:13,6/20/2004 2:13,6/20/2004 2:14,6/20/2004 2:16,6/20/2004 2:26,,,Other,6/20/2004 2:46,2ND ST/FOLSOM ST,SF,94107,B03,1,2147,3,3,3,FALSE,,1,MEDIC,1,3,6,Financial District/South Beach,"(37.7855421300911, -122.396705179335)",041720029-M01
41720030,E07,4047994,Medical Incident,6/20/2004,6/19/2004,6/20/2004 2:19,6/20/2004 2:19,6/20/2004 2:20,6/20/2004 2:21,6/20/2004 2:25,,,Other,6/20/2004 2:27,100 Block of BARTLETT ST,SF,94110,B06,7,5472,3,3,3,TRUE,,1,ENGINE,2,6,9,Mission,"(37.7545635607749, -122.419850677817)",041720030-E07
41720030,M07,4047994,Medical Incident,6/20/2004,6/19/2004,6/20/2004 2:19,6/20/2004 2:19,6/20/2004 2:20,6/20/2004 2:21,6/20/2004 2:23,,,Other,6/20/2004 2:36,100 Block of BARTLETT ST,SF,94110,B06,7,5472,3,3,3,TRUE,,1,MEDIC,1,6,9,Mission,"(37.7545635607749, -122.419850677817)",041720030-M07
41720031,E17,4047995,Medical Incident,6/20/2004,6/19/2004,6/20/2004 2:42,6/20/2004 2:43,6/20/2004 2:43,6/20/2004 2:45,6/20/2004 2:48,,,Other,6/20/2004 2:56,100 Block of NORTHRIDGE RD,SF,94124,B10,17,6633,3,3,3,TRUE,,1,ENGINE,2,10,10,Bayview Hunters Point,"(37.7312838053833, -122.378204872935)",041720031-E17
41720031,M17,4047995,Medical Incident,6/20/2004,6/19/2004,6/20/2004 2:42,6/20/2004 2:43,6/20/2004 2:43,6/20/2004 2:45,6/20/2004 2:48,6/20/2004 3:02,6/20/2004 3:13,Other,6/20/2004 3:28,100 Block of NORTHRIDGE RD,SF,94124,B10,17,6633,3,3,3,TRUE,,1,MEDIC,1,10,10,Bayview Hunters Point,"(37.7312838053833, -122.378204872935)",041720031-M17
41720033,E11,4047996,Citizen Assist / Service Call,6/20/2004,6/19/2004,6/20/2004 2:50,6/20/2004 2:52,6/20/2004 2:52,6/20/2004 2:53,6/20/2004 2:56,,,Other,6/20/2004 3:09,3100 Block of MISSION ST,SF,94110,B06,11,5624,2,2,2,TRUE,,1,ENGINE,1,6,9,Bernal Heights,"(37.7474453071495, -122.418609719102)",041720033-E11
41720034,M08,4047997,Medical Incident,6/20/2004,6/19/2004,6/20/2004 2:50,6/20/2004 2:53,6/20/2004 2:53,6/20/2004 2:55,6/20/2004 3:00,6/20/2004 3:09,6/20/2004 3:19,Other,6/20/2004 3:46,900 Block of MISSION ST,SF,94103,B03,1,2251,2,2,2,TRUE,,1,MEDIC,1,3,6,South of Market,"(37.7815842395421, -122.408030493992)",041720034-M08
41720035,E13,4047998,Medical Incident,6/20/2004,6/19/2004,6/20/2004 2:59,6/20/2004 3:00,6/20/2004 3:00,6/20/2004 3:02,6/20/2004 3:05,,,Other,6/20/2004 3:08,300 Block of HARRISON ST,SF,94105,B03,35,2123,3,3,3,TRUE,,1,ENGINE,3,3,6,Financial District/South Beach,"(37.7870714019354, -122.391567493465)",041720035-E13
41720035,E35,4047998,Medical Incident,6/20/2004,6/19/2004,6/20/2004 2:59,6/20/2004 3:00,6/20/2004 3:00,6/20/2004 3:02,6/20/2004 3:03,,,Other,6/20/2004 3:43,300 Block of HARRISON ST,SF,94105,B03,35,2123,3,3,3,FALSE,,1,ENGINE,1,3,6,Financial District/South Beach,"(37.7870714019354, -122.391567493465)",041720035-E35
41720035,M13,4047998,Medical Incident,6/20/2004,6/19/2004,6/20/2004 2:59,6/20/2004 3:00,6/20/2004 3:00,6/20/2004 3:02,6/20/2004 3:05,6/20/2004 3:21,,Other,6/20/2004 3:26,300 Block of HARRISON ST,SF,94105,B03,35,2123,3,3,3,TRUE,,1,MEDIC,2,3,6,Financial District/South Beach,"(37.7870714019354, -122.391567493465)",041720035-M13
41720036,E22,4047999,Medical Incident,6/20/2004,6/19/2004,6/20/2004 3:05,6/20/2004 3:06,6/20/2004 3:07,6/20/2004 3:09,6/20/2004 3:11,,,Other,6/20/2004 3:26,1200 Block of 9TH AVE,SF,94122,B08,22,7333,3,3,3,FALSE,,1,ENGINE,2,7,5,Inner Sunset,"(37.7649838689096, -122.466307471227)",041720036-E22
41720044,B01,4048007,Alarms,6/20/2004,6/19/2004,6/20/2004 4:20,6/20/2004 4:22,6/20/2004 4:22,6/20/2004 4:24,6/20/2004 4:27,,,Other,6/20/2004 4:31,500 Block of GEARY ST,SF,94102,B01,3,1462,3,3,3,FALSE,,1,CHIEF,3,1,3,Tenderloin,"(37.7868363592255, -122.412761859687)",041720044-B01
41720036,M12,4047999,Medical Incident,6/20/2004,6/19/2004,6/20/2004 3:05,6/20/2004 3:06,6/20/2004 3:07,6/20/2004 3:08,6/20/2004 3:12,6/20/2004 3:21,6/20/2004 3:32,Other,6/20/2004 3:55,1200 Block of 9TH AVE,SF,94122,B08,22,7333,3,3,3,TRUE,,1,MEDIC,1,7,5,Inner Sunset,"(37.7649838689096, -122.466307471227)",041720036-M12
41720037,E44,4048000,Vehicle Fire,6/20/2004,6/19/2004,6/20/2004 3:08,6/20/2004 3:08,6/20/2004 3:09,6/20/2004 3:10,6/20/2004 3:12,,,Other,6/20/2004 3:21,1300 Block of BRUSSELS ST,SF,94134,B10,44,6316,3,3,3,TRUE,,1,ENGINE,1,10,10,Visitacion Valley,"(37.7157331261264, -122.400788965843)",041720037-E44
41720038,E41,4048001,Medical Incident,6/20/2004,6/19/2004,6/20/2004 3:07,6/20/2004 3:09,6/20/2004 3:09,6/20/2004 3:11,6/20/2004 3:13,,,Other,6/20/2004 3:28,PACIFIC AV/VAN NESS AV,SF,94109,B04,41,3152,3,3,3,TRUE,,1,ENGINE,2,4,3,Russian Hill,"(37.7948173544208, -122.423227147276)",041720038-E41
41720038,M41,4048001,Medical Incident,6/20/2004,6/19/2004,6/20/2004 3:07,6/20/2004 3:09,6/20/2004 3:09,6/20/2004 3:11,6/20/2004 3:13,,,Other,6/20/2004 3:31,PACIFIC AV/VAN NESS AV,SF,94109,B04,41,3152,3,3,3,TRUE,,1,MEDIC,1,4,3,Russian Hill,"(37.7948173544208, -122.423227147276)",041720038-M41
