Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
122740131,E06,12090340,Medical Incident,09/30/2012,09/30/2012,09/30/2012 10:29:02 AM,09/30/2012 10:30:27 AM,09/30/2012 10:31:03 AM,09/30/2012 10:31:47 AM,,,,Other,09/30/2012 10:40:39 AM,300 Block of BUENAVISTAEAST AV,SF,94117,B05,21,5136,2,2,2,true,Potentially Life-Threatening,1,ENGINE,4,5,8,Castro/Upper Market,"(37.7667916111324, -122.440720545257)",122740131-E06
122740131,E21,12090340,Medical Incident,09/30/2012,09/30/2012,09/30/2012 10:29:02 AM,09/30/2012 10:30:27 AM,09/30/2012 10:31:03 AM,09/30/2012 10:32:30 AM,09/30/2012 10:36:20 AM,,,Other,09/30/2012 10:55:56 AM,300 Block of BUENAVISTAEAST AV,SF,94117,B05,21,5136,2,2,2,true,Potentially Life-Threatening,1,ENGINE,1,5,8,Castro/Upper Market,"(37.7667916111324, -122.440720545257)",122740131-E21
122740131,RC2,12090340,Medical Incident,09/30/2012,09/30/2012,09/30/2012 10:29:02 AM,09/30/2012 10:30:27 AM,09/30/2012 10:31:03 AM,,09/30/2012 10:42:48 AM,,,Other,09/30/2012 10:54:58 AM,300 Block of BUENAVISTAEAST AV,SF,94117,B05,21,5136,2,2,2,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,2,5,8,Castro/Upper Market,"(37.7667916111324, -122.440720545257)",122740131-RC2
122740132,B01,12090341,Alarms,09/30/2012,09/30/2012,09/30/2012 10:34:29 AM,09/30/2012 10:35:21 AM,09/30/2012 10:35:38 AM,09/30/2012 10:38:12 AM,,,,Other,09/30/2012 10:39:40 AM,1300 Block of JONES ST,SF,94108,B01,41,1466,3,3,3,false,Alarm,1,CHIEF,2,1,3,Nob Hill,"(37.7936750957454, -122.41449049505)",122740132-B01
122740132,E41,12090341,Alarms,09/30/2012,09/30/2012,09/30/2012 10:34:29 AM,09/30/2012 10:35:21 AM,09/30/2012 10:35:38 AM,09/30/2012 10:37:17 AM,09/30/2012 10:38:22 AM,,,Other,09/30/2012 10:49:00 AM,1300 Block of JONES ST,SF,94108,B01,41,1466,3,3,3,false,Alarm,1,ENGINE,1,1,3,Nob Hill,"(37.7936750957454, -122.41449049505)",122740132-E41
122740132,T02,12090341,Alarms,09/30/2012,09/30/2012,09/30/2012 10:34:29 AM,09/30/2012 10:35:21 AM,09/30/2012 10:35:38 AM,09/30/2012 10:35:53 AM,,,,Other,09/30/2012 10:39:14 AM,1300 Block of JONES ST,SF,94108,B01,41,1466,3,3,3,false,Alarm,1,TRUCK,3,1,3,Nob Hill,"(37.7936750957454, -122.41449049505)",122740132-T02
122740133,59,12090342,Medical Incident,09/30/2012,09/30/2012,09/30/2012 10:35:30 AM,09/30/2012 10:37:59 AM,09/30/2012 10:38:42 AM,09/30/2012 10:38:58 AM,09/30/2012 10:50:31 AM,09/30/2012 11:01:10 AM,09/30/2012 11:06:55 AM,Code 2 Transport,09/30/2012 11:39:45 AM,GEARY BL/FILLMORE ST,SF,94115,B04,05,3541,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,4,5,Western Addition,"(37.7843550554153, -122.432914248043)",122740133-59
122740133,E05,12090342,Medical Incident,09/30/2012,09/30/2012,09/30/2012 10:35:30 AM,09/30/2012 10:37:59 AM,09/30/2012 10:38:42 AM,09/30/2012 10:39:04 AM,09/30/2012 10:40:57 AM,,,Other,09/30/2012 10:53:52 AM,GEARY BL/FILLMORE ST,SF,94115,B04,05,3541,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,4,5,Western Addition,"(37.7843550554153, -122.432914248043)",122740133-E05
122740134,E36,12090343,Traffic Collision,09/30/2012,09/30/2012,09/30/2012 10:38:28 AM,09/30/2012 10:38:28 AM,09/30/2012 10:40:34 AM,09/30/2012 10:43:03 AM,09/30/2012 10:48:18 AM,,,Other,09/30/2012 10:48:21 AM,CASTRO ST/DUBOCE AV,SF,94117,B05,06,5133,2,2,2,true,Non Life-threatening,1,ENGINE,2,5,8,Haight Ashbury,"(37.7690584547768, -122.435794213255)",122740134-E36
122740134,KM04,12090343,Traffic Collision,09/30/2012,09/30/2012,09/30/2012 10:38:28 AM,09/30/2012 10:38:28 AM,09/30/2012 10:40:34 AM,09/30/2012 10:41:02 AM,09/30/2012 10:44:45 AM,,,No Merit,09/30/2012 10:52:40 AM,CASTRO ST/DUBOCE AV,SF,94117,B05,06,5133,2,2,2,false,Non Life-threatening,1,PRIVATE,1,5,8,Haight Ashbury,"(37.7690584547768, -122.435794213255)",122740134-KM04
122740135,E06,12090344,Structure Fire,09/30/2012,09/30/2012,09/30/2012 10:42:45 AM,09/30/2012 10:42:45 AM,09/30/2012 10:42:57 AM,09/30/2012 10:43:08 AM,,,,Other,09/30/2012 10:45:58 AM,16TH ST/GUERRERO ST,SF,94103,B02,06,5235,3,3,3,true,Alarm,1,ENGINE,2,2,8,Mission,"(37.7647834522541, -122.424102685064)",122740135-E06
122740135,T06,12090344,Structure Fire,09/30/2012,09/30/2012,09/30/2012 10:42:45 AM,09/30/2012 10:42:45 AM,09/30/2012 10:42:57 AM,09/30/2012 10:43:49 AM,09/30/2012 10:45:40 AM,,,Other,09/30/2012 10:46:11 AM,16TH ST/GUERRERO ST,SF,94103,B02,06,5235,3,3,3,false,Alarm,1,TRUCK,1,2,8,Mission,"(37.7647834522541, -122.424102685064)",122740135-T06
122740136,99,12090345,Medical Incident,09/30/2012,09/30/2012,09/30/2012 10:55:56 AM,09/30/2012 10:57:22 AM,09/30/2012 10:58:08 AM,09/30/2012 10:58:25 AM,09/30/2012 11:09:19 AM,09/30/2012 11:20:40 AM,09/30/2012 11:30:25 AM,Code 2 Transport,09/30/2012 12:09:34 PM,NATOMA ST/LAFAYETTE ST,SF,94103,B02,36,5114,2,2,2,false,Non Life-threatening,1,MEDIC,1,2,6,Mission,"(37.7728165323126, -122.416912825212)",122740136-99
122740136,E36,12090345,Medical Incident,09/30/2012,09/30/2012,09/30/2012 10:55:56 AM,09/30/2012 10:57:22 AM,09/30/2012 10:58:08 AM,09/30/2012 10:58:21 AM,,,,Other,09/30/2012 11:12:48 AM,NATOMA ST/LAFAYETTE ST,SF,94103,B02,36,5114,2,2,2,true,Non Life-threatening,1,ENGINE,2,2,6,Mission,"(37.7728165323126, -122.416912825212)",122740136-E36
122740137,87,12090346,Medical Incident,09/30/2012,09/30/2012,09/30/2012 11:03:44 AM,09/30/2012 11:05:11 AM,09/30/2012 11:05:32 AM,09/30/2012 11:06:00 AM,09/30/2012 11:12:30 AM,09/30/2012 11:38:07 AM,09/30/2012 11:50:05 AM,Code 2 Transport,09/30/2012 12:13:48 PM,400 Block of TURK ST,SF,94102,B02,03,1554,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,2,6,Tenderloin,"(37.7824484982183, -122.416327441768)",122740137-87
122740137,E03,12090346,Medical Incident,09/30/2012,09/30/2012,09/30/2012 11:03:44 AM,09/30/2012 11:05:11 AM,09/30/2012 11:05:32 AM,09/30/2012 11:06:23 AM,09/30/2012 11:08:29 AM,,,Other,09/30/2012 11:17:07 AM,400 Block of TURK ST,SF,94102,B02,03,1554,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,2,6,Tenderloin,"(37.7824484982183, -122.416327441768)",122740137-E03
122740138,58,12090347,Structure Fire,09/30/2012,09/30/2012,09/30/2012 11:06:29 AM,09/30/2012 11:07:05 AM,09/30/2012 11:07:14 AM,09/30/2012 11:07:40 AM,,,,Other,09/30/2012 11:12:16 AM,2600 Block of VICENTE ST,SF,94116,B08,18,7613,3,3,3,true,Fire,1,MEDIC,8,8,4,Sunset/Parkside,"(37.7383946564881, -122.495251049299)",122740138-58
122740138,B08,12090347,Structure Fire,09/30/2012,09/30/2012,09/30/2012 11:06:29 AM,09/30/2012 11:07:05 AM,09/30/2012 11:07:14 AM,09/30/2012 11:08:36 AM,09/30/2012 11:11:37 AM,,,Fire,09/30/2012 11:17:57 AM,2600 Block of VICENTE ST,SF,94116,B08,18,7613,3,3,3,false,Fire,1,CHIEF,2,8,4,Sunset/Parkside,"(37.7383946564881, -122.495251049299)",122740138-B08
122740138,B09,12090347,Structure Fire,09/30/2012,09/30/2012,09/30/2012 11:06:29 AM,09/30/2012 11:07:05 AM,09/30/2012 11:07:14 AM,09/30/2012 11:08:42 AM,,,,Other,09/30/2012 11:12:08 AM,2600 Block of VICENTE ST,SF,94116,B08,18,7613,3,3,3,false,Fire,1,CHIEF,9,8,4,Sunset/Parkside,"(37.7383946564881, -122.495251049299)",122740138-B09
122740138,D3,12090347,Structure Fire,09/30/2012,09/30/2012,09/30/2012 11:06:29 AM,09/30/2012 11:07:05 AM,09/30/2012 11:07:14 AM,09/30/2012 11:07:55 AM,,,,Other,09/30/2012 11:12:19 AM,2600 Block of VICENTE ST,SF,94116,B08,18,7613,3,3,3,false,Fire,1,CHIEF,7,8,4,Sunset/Parkside,"(37.7383946564881, -122.495251049299)",122740138-D3
122740138,E18,12090347,Structure Fire,09/30/2012,09/30/2012,09/30/2012 11:06:29 AM,09/30/2012 11:07:05 AM,09/30/2012 11:07:14 AM,09/30/2012 11:08:52 AM,,,,Other,09/30/2012 11:17:28 AM,2600 Block of VICENTE ST,SF,94116,B08,18,7613,3,3,3,true,Fire,1,ENGINE,6,8,4,Sunset/Parkside,"(37.7383946564881, -122.495251049299)",122740138-E18
122740138,E19,12090347,Structure Fire,09/30/2012,09/30/2012,09/30/2012 11:06:29 AM,09/30/2012 11:07:05 AM,09/30/2012 11:07:14 AM,09/30/2012 11:08:20 AM,09/30/2012 11:10:20 AM,,,Other,09/30/2012 11:17:59 AM,2600 Block of VICENTE ST,SF,94116,B08,18,7613,3,3,3,true,Fire,1,ENGINE,1,8,4,Sunset/Parkside,"(37.7383946564881, -122.495251049299)",122740138-E19
122740138,E40,12090347,Structure Fire,09/30/2012,09/30/2012,09/30/2012 11:06:29 AM,09/30/2012 11:07:05 AM,09/30/2012 11:07:14 AM,09/30/2012 11:09:49 AM,,,,Other,09/30/2012 11:20:36 AM,2600 Block of VICENTE ST,SF,94116,B08,18,7613,3,3,3,true,Fire,1,ENGINE,5,8,4,Sunset/Parkside,"(37.7383946564881, -122.495251049299)",122740138-E40
122740138,RS2,12090347,Structure Fire,09/30/2012,09/30/2012,09/30/2012 11:06:29 AM,09/30/2012 11:07:05 AM,09/30/2012 11:07:14 AM,09/30/2012 11:08:19 AM,,,,Other,09/30/2012 11:11:54 AM,2600 Block of VICENTE ST,SF,94116,B08,18,7613,3,3,3,false,Fire,1,RESCUE SQUAD,10,8,4,Sunset/Parkside,"(37.7383946564881, -122.495251049299)",122740138-RS2
122740138,T18,12090347,Structure Fire,09/30/2012,09/30/2012,09/30/2012 11:06:29 AM,09/30/2012 11:07:05 AM,09/30/2012 11:07:14 AM,09/30/2012 11:08:53 AM,09/30/2012 11:12:16 AM,,,Other,09/30/2012 11:15:07 AM,2600 Block of VICENTE ST,SF,94116,B08,18,7613,3,3,3,false,Fire,1,TRUCK,3,8,4,Sunset/Parkside,"(37.7383946564881, -122.495251049299)",122740138-T18
122740139,B03,12090348,Alarms,09/30/2012,09/30/2012,09/30/2012 11:06:37 AM,09/30/2012 11:07:19 AM,09/30/2012 11:08:14 AM,09/30/2012 11:09:39 AM,,,,Other,09/30/2012 11:12:06 AM,200 Block of UTAH ST,SF,94103,B02,29,2351,3,3,3,false,Alarm,1,CHIEF,2,2,10,Mission,"(37.7664880739318, -122.40668390779)",122740139-B03
122740139,E29,12090348,Alarms,09/30/2012,09/30/2012,09/30/2012 11:06:37 AM,09/30/2012 11:07:19 AM,09/30/2012 11:08:14 AM,09/30/2012 11:09:55 AM,09/30/2012 11:10:26 AM,,,Fire,09/30/2012 11:20:22 AM,200 Block of UTAH ST,SF,94103,B02,29,2351,3,3,3,true,Alarm,1,ENGINE,1,2,10,Mission,"(37.7664880739318, -122.40668390779)",122740139-E29
122740139,T07,12090348,Alarms,09/30/2012,09/30/2012,09/30/2012 11:06:37 AM,09/30/2012 11:07:19 AM,09/30/2012 11:08:14 AM,09/30/2012 11:09:58 AM,,,,Other,09/30/2012 11:12:06 AM,200 Block of UTAH ST,SF,94103,B02,29,2351,3,3,3,false,Alarm,1,TRUCK,3,2,10,Mission,"(37.7664880739318, -122.40668390779)",122740139-T07
122740140,T03,12090349,Structure Fire,09/30/2012,09/30/2012,09/30/2012 11:10:51 AM,09/30/2012 11:10:51 AM,09/30/2012 11:11:22 AM,09/30/2012 11:13:15 AM,,,,Other,09/30/2012 11:15:39 AM,OFARRELL ST/TAYLOR ST,SF,94102,B01,01,1452,3,3,3,false,Alarm,1,TRUCK,1,3,3,Tenderloin,"(37.7859962359076, -122.411325582966)",122740140-T03
122740141,B04,12090350,Alarms,09/30/2012,09/30/2012,09/30/2012 11:11:05 AM,09/30/2012 11:12:16 AM,09/30/2012 11:12:37 AM,09/30/2012 11:13:43 AM,09/30/2012 11:17:52 AM,,,Fire,09/30/2012 11:26:03 AM,2400 Block of VAN NESS AVE,SF,94123,B04,41,3151,3,3,3,false,Alarm,1,CHIEF,3,4,2,Marina,"(37.7980627796471, -122.424058424434)",122740141-B04
122740141,E41,12090350,Alarms,09/30/2012,09/30/2012,09/30/2012 11:11:05 AM,09/30/2012 11:12:16 AM,09/30/2012 11:12:37 AM,,09/30/2012 11:17:32 AM,,,Other,09/30/2012 11:29:16 AM,2400 Block of VAN NESS AVE,SF,94123,B04,41,3151,3,3,3,false,Alarm,1,ENGINE,1,4,2,Marina,"(37.7980627796471, -122.424058424434)",122740141-E41
122740141,T16,12090350,Alarms,09/30/2012,09/30/2012,09/30/2012 11:11:05 AM,09/30/2012 11:12:16 AM,09/30/2012 11:12:37 AM,09/30/2012 11:13:57 AM,09/30/2012 11:17:47 AM,,,Other,09/30/2012 11:29:00 AM,2400 Block of VAN NESS AVE,SF,94123,B04,41,3151,3,3,3,false,Alarm,1,TRUCK,2,4,2,Marina,"(37.7980627796471, -122.424058424434)",122740141-T16
122740142,83,12090351,Medical Incident,09/30/2012,09/30/2012,09/30/2012 11:15:19 AM,09/30/2012 11:16:50 AM,09/30/2012 11:17:20 AM,09/30/2012 11:19:28 AM,09/30/2012 11:39:10 AM,09/30/2012 11:48:43 AM,09/30/2012 12:11:14 PM,Code 2 Transport,09/30/2012 12:16:51 PM,900 Block of GEARY ST,SF,94109,B04,03,3116,1,1,2,true,Non Life-threatening,1,MEDIC,1,4,6,Tenderloin,"(37.7859427265455, -122.418902557609)",122740142-83
122740143,E21,12090352,Medical Incident,09/30/2012,09/30/2012,09/30/2012 11:20:10 AM,09/30/2012 11:20:42 AM,09/30/2012 11:20:58 AM,09/30/2012 11:21:50 AM,09/30/2012 11:21:57 AM,,,Other,09/30/2012 11:44:35 AM,1400 Block of GROVE ST,SF,94117,B05,21,4253,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,5,5,Hayes Valley,"(37.7755549059479, -122.440467342038)",122740143-E21
122740143,KM04,12090352,Medical Incident,09/30/2012,09/30/2012,09/30/2012 11:20:10 AM,09/30/2012 11:20:42 AM,09/30/2012 11:20:58 AM,09/30/2012 11:21:35 AM,09/30/2012 11:25:08 AM,09/30/2012 11:47:58 AM,09/30/2012 12:11:26 PM,Code 2 Transport,09/30/2012 01:24:34 PM,1400 Block of GROVE ST,SF,94117,B05,21,4253,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,5,5,Hayes Valley,"(37.7755549059479, -122.440467342038)",122740143-KM04
122740143,RC2,12090352,Medical Incident,09/30/2012,09/30/2012,09/30/2012 11:20:10 AM,09/30/2012 11:20:42 AM,09/30/2012 11:20:58 AM,,,,,Other,09/30/2012 11:44:54 AM,1400 Block of GROVE ST,SF,94117,B05,21,4253,3,3,3,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,3,5,5,Hayes Valley,"(37.7755549059479, -122.440467342038)",122740143-RC2
122740144,E10,12090353,Medical Incident,09/30/2012,09/30/2012,09/30/2012 11:25:56 AM,09/30/2012 11:27:42 AM,09/30/2012 11:28:33 AM,09/30/2012 11:30:13 AM,09/30/2012 11:33:54 AM,,,Other,09/30/2012 11:37:00 AM,3300 Block of GEARY BLVD,SF,94118,B07,10,4453,2,2,2,true,Non Life-threatening,1,ENGINE,1,7,1,Lone Mountain/USF,"(37.7813983403975, -122.454704070004)",122740144-E10
122740144,KM01,12090353,Medical Incident,09/30/2012,09/30/2012,09/30/2012 11:25:56 AM,09/30/2012 11:27:42 AM,09/30/2012 11:28:33 AM,09/30/2012 11:29:11 AM,,,,Other,09/30/2012 11:37:47 AM,3300 Block of GEARY BLVD,SF,94118,B07,10,4453,2,2,2,false,Non Life-threatening,1,PRIVATE,2,7,1,Lone Mountain/USF,"(37.7813983403975, -122.454704070004)",122740144-KM01
122740146,B08,12090354,Gas Leak (Natural and LP Gases),09/30/2012,09/30/2012,09/30/2012 11:31:16 AM,09/30/2012 11:32:23 AM,09/30/2012 11:32:46 AM,09/30/2012 11:34:01 AM,09/30/2012 11:37:44 AM,,,Other,09/30/2012 11:43:00 AM,1500 Block of 39TH AVE,SF,94122,B08,23,7625,3,3,3,false,Alarm,1,CHIEF,3,8,4,Sunset/Parkside,"(37.7579521253263, -122.498296728955)",122740146-B08
122740146,E23,12090354,Gas Leak (Natural and LP Gases),09/30/2012,09/30/2012,09/30/2012 11:31:16 AM,09/30/2012 11:32:23 AM,09/30/2012 11:32:46 AM,09/30/2012 11:34:40 AM,09/30/2012 11:36:58 AM,,,Other,09/30/2012 11:43:00 AM,1500 Block of 39TH AVE,SF,94122,B08,23,7625,3,3,3,false,Alarm,1,ENGINE,1,8,4,Sunset/Parkside,"(37.7579521253263, -122.498296728955)",122740146-E23
122740146,T18,12090354,Gas Leak (Natural and LP Gases),09/30/2012,09/30/2012,09/30/2012 11:31:16 AM,09/30/2012 11:32:23 AM,09/30/2012 11:32:46 AM,09/30/2012 11:34:39 AM,09/30/2012 11:37:21 AM,,,Other,09/30/2012 11:43:00 AM,1500 Block of 39TH AVE,SF,94122,B08,23,7625,3,3,3,false,Alarm,1,TRUCK,2,8,4,Sunset/Parkside,"(37.7579521253263, -122.498296728955)",122740146-T18
122740147,B02,12090355,Structure Fire,09/30/2012,09/30/2012,09/30/2012 11:38:49 AM,09/30/2012 11:39:02 AM,09/30/2012 11:39:12 AM,09/30/2012 11:40:04 AM,09/30/2012 11:41:11 AM,,,Fire,09/30/2012 11:42:08 AM,0 Block of SOUTH VAN NESS AVE,SF,94103,B02,36,5117,3,3,3,false,Alarm,1,CHIEF,1,2,6,Mission,"(37.7741251002903, -122.418810211803)",122740147-B02
122740147,E36,12090355,Structure Fire,09/30/2012,09/30/2012,09/30/2012 11:38:49 AM,09/30/2012 11:39:02 AM,09/30/2012 11:39:12 AM,09/30/2012 11:40:21 AM,09/30/2012 11:41:22 AM,,,Other,09/30/2012 11:42:08 AM,0 Block of SOUTH VAN NESS AVE,SF,94103,B02,36,5117,3,3,3,true,Alarm,1,ENGINE,2,2,6,Mission,"(37.7741251002903, -122.418810211803)",122740147-E36
122740147,T06,12090355,Structure Fire,09/30/2012,09/30/2012,09/30/2012 11:38:49 AM,09/30/2012 11:39:02 AM,09/30/2012 11:39:12 AM,09/30/2012 11:40:42 AM,,,,Other,09/30/2012 11:42:08 AM,0 Block of SOUTH VAN NESS AVE,SF,94103,B02,36,5117,3,3,3,false,Alarm,1,TRUCK,3,2,6,Mission,"(37.7741251002903, -122.418810211803)",122740147-T06
122740148,KM11,12090356,Medical Incident,09/30/2012,09/30/2012,09/30/2012 11:47:29 AM,09/30/2012 11:48:56 AM,09/30/2012 11:49:39 AM,09/30/2012 11:50:05 AM,09/30/2012 11:59:23 AM,09/30/2012 12:11:04 PM,09/30/2012 12:24:46 PM,Code 2 Transport,09/30/2012 12:58:12 PM,700 Block of HAYES ST,SF,94102,B02,05,3522,2,2,2,false,Potentially Life-Threatening,1,PRIVATE,1,2,5,Hayes Valley,"(37.7760947496614, -122.428722900919)",122740148-KM11
122740149,58,12090357,Traffic Collision,09/30/2012,09/30/2012,09/30/2012 11:50:15 AM,09/30/2012 11:52:07 AM,09/30/2012 11:52:23 AM,09/30/2012 11:52:46 AM,09/30/2012 12:03:05 PM,09/30/2012 12:20:52 PM,09/30/2012 12:47:11 PM,Code 2 Transport,09/30/2012 01:24:51 PM,GREAT HY/NORIEGA ST,SF,94122,B08,23,7725,2,2,2,true,Non Life-threatening,1,MEDIC,3,8,4,Sunset/Parkside,"(37.7528302279051, -122.508432394418)",122740149-58
122740149,E18,12090357,Traffic Collision,09/30/2012,09/30/2012,09/30/2012 11:50:15 AM,09/30/2012 11:52:07 AM,09/30/2012 11:52:23 AM,09/30/2012 12:00:21 PM,09/30/2012 12:01:03 PM,,,Other,09/30/2012 12:10:41 PM,GREAT HY/NORIEGA ST,SF,94122,B08,23,7725,2,2,2,true,Non Life-threatening,1,ENGINE,2,8,4,Sunset/Parkside,"(37.7528302279051, -122.508432394418)",122740149-E18
122740149,E23,12090357,Traffic Collision,09/30/2012,09/30/2012,09/30/2012 11:50:15 AM,09/30/2012 11:52:07 AM,09/30/2012 11:52:23 AM,09/30/2012 11:53:18 AM,09/30/2012 11:57:55 AM,,,Other,09/30/2012 12:10:26 PM,GREAT HY/NORIEGA ST,SF,94122,B08,23,7725,2,2,2,false,Non Life-threatening,1,ENGINE,1,8,4,Sunset/Parkside,"(37.7528302279051, -122.508432394418)",122740149-E23
122740150,88,12090358,Structure Fire,09/30/2012,09/30/2012,09/30/2012 11:58:15 AM,09/30/2012 11:58:42 AM,09/30/2012 11:59:25 AM,09/30/2012 12:00:33 PM,,,,Other,09/30/2012 12:04:46 PM,300 Block of ARGUELLO BLVD,SF,94118,B07,10,7114,3,3,3,false,Fire,1,MEDIC,9,7,1,Inner Richmond,"(37.7835044858237, -122.459090569412)",122740150-88
122740150,B04,12090358,Structure Fire,09/30/2012,09/30/2012,09/30/2012 11:58:15 AM,09/30/2012 11:58:42 AM,09/30/2012 11:59:25 AM,09/30/2012 12:01:09 PM,,,,Other,09/30/2012 12:05:21 PM,300 Block of ARGUELLO BLVD,SF,94118,B07,10,7114,3,3,3,false,Fire,1,CHIEF,5,7,1,Inner Richmond,"(37.7835044858237, -122.459090569412)",122740150-B04
